TimeInterval,TradeCount,Volume,Direct Edge X,NASDAQ OMX PSX,NYSE Arca SM,BATS,NYSE MKT,NASDAQ OMX BX,BATS Y,NASDAQ OMX,Direct Edge A
2014-03-13 09:53:36,7,18,0,0,0,18,0,0,0,0,0
2014-03-13 09:53:37,7,14,0,0,0,14,0,0,0,0,0
2014-03-13 09:53:38,6,15,0,0,0,15,0,0,0,0,0
2014-03-13 09:53:39,7,17,0,0,0,17,0,0,0,0,0
2014-03-13 09:53:40,6,13,0,0,0,13,0,0,0,0,0
2014-03-13 09:53:41,7,16,0,0,0,16,0,0,0,0,0
2014-03-13 09:53:42,7,17,0,0,0,17,0,0,0,0,0
2014-03-13 09:53:43,6,11,0,0,0,11,0,0,0,0,0
2014-03-13 09:53:44,8,310,100,0,0,110,100,0,0,0,0
2014-03-13 09:54:37,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:55:04,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:55:31,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:55:47,7,406,0,0,0,206,0,0,0,100,100
2014-03-13 09:55:48,6,14,0,0,0,14,0,0,0,0,0
2014-03-13 09:55:49,8,117,0,0,0,17,0,100,0,0,0
2014-03-13 09:55:50,7,17,0,0,0,17,0,0,0,0,0
2014-03-13 09:55:51,6,15,0,0,0,15,0,0,0,0,0
2014-03-13 09:55:52,7,19,0,0,0,19,0,0,0,0,0
2014-03-13 09:55:53,7,18,0,0,0,18,0,0,0,0,0
2014-03-13 09:55:54,6,17,0,0,0,17,0,0,0,0,0
2014-03-13 09:55:55,7,17,0,0,0,17,0,0,0,0,0
2014-03-13 09:55:56,6,15,0,0,0,15,0,0,0,0,0
2014-03-13 09:55:57,7,18,0,0,0,18,0,0,0,0,0
2014-03-13 09:55:58,7,15,0,0,0,15,0,0,0,0,0
2014-03-13 09:55:59,6,19,0,0,0,19,0,0,0,0,0
2014-03-13 09:56:00,7,114,0,0,0,14,0,0,0,100,0
2014-03-13 09:56:01,1,2,0,0,0,2,0,0,0,0,0
2014-03-13 09:56:03,5,304,0,0,0,4,0,0,0,300,0
2014-03-13 09:56:21,12,712,0,0,0,212,0,0,0,500,0
2014-03-13 09:56:29,9,729,10,0,0,102,0,100,0,417,100
2014-03-13 09:57:24,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:57:49,2,202,0,0,100,0,0,0,102,0,0
2014-03-13 09:58:10,19,1653,300,0,0,101,0,0,0,1152,100
2014-03-13 09:58:18,1,2,0,0,0,2,0,0,0,0,0
2014-03-13 09:58:19,3,153,0,0,0,104,0,0,0,49,0
2014-03-13 09:58:29,4,252,0,0,0,1,0,0,0,251,0
2014-03-13 09:58:46,2,200,0,0,100,0,0,0,0,100,0
2014-03-13 09:59:14,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:59:18,5,500,300,0,0,0,0,0,0,200,0
2014-03-13 09:59:24,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:59:34,2,200,0,0,0,0,0,0,0,200,0
2014-03-13 09:59:40,1,87,0,0,0,0,0,0,87,0,0
2014-03-13 09:59:43,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:00:10,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:00:35,9,1000,300,0,300,0,0,0,0,400,0
2014-03-13 10:00:38,2,100,0,0,0,1,99,0,0,0,0
2014-03-13 10:00:53,6,700,200,0,200,0,100,0,0,100,100
2014-03-13 10:00:54,4,300,0,0,100,200,0,0,0,0,0
2014-03-13 10:01:02,2,30,0,0,0,0,0,0,0,30,0
2014-03-13 10:01:32,1,100,0,0,0,0,0,100,0,0,0
2014-03-13 10:01:38,4,300,0,0,100,100,0,0,0,100,0
2014-03-13 10:02:06,1,71,0,0,0,0,0,0,0,71,0
2014-03-13 10:02:08,3,200,0,0,0,0,0,0,0,200,0
2014-03-13 10:02:11,8,809,100,0,5,104,100,0,0,500,0
2014-03-13 10:02:16,1,4,0,0,0,4,0,0,0,0,0
2014-03-13 10:02:39,2,100,0,0,99,1,0,0,0,0,0
2014-03-13 10:02:44,11,1725,1520,0,51,154,0,0,0,0,0
2014-03-13 10:02:47,2,100,0,0,50,50,0,0,0,0,0
2014-03-13 10:02:59,19,1214,0,0,150,964,0,0,0,0,100
2014-03-13 10:03:08,1,4,0,0,0,4,0,0,0,0,0
2014-03-13 10:03:18,5,308,0,0,100,108,0,0,0,100,0
2014-03-13 10:03:21,5,300,0,0,0,245,0,0,55,0,0
2014-03-13 10:03:36,3,141,0,0,0,0,0,0,141,0,0
2014-03-13 10:03:37,5,459,100,0,200,0,59,0,100,0,0
2014-03-13 10:03:40,2,200,0,0,0,0,0,0,0,200,0
2014-03-13 10:03:44,2,103,0,0,0,3,0,0,0,100,0
2014-03-13 10:03:52,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:04:12,20,1863,500,0,0,107,100,100,0,1056,0
2014-03-13 10:04:13,3,300,0,0,0,0,0,0,0,300,0
2014-03-13 10:04:18,3,201,0,0,200,1,0,0,0,0,0
2014-03-13 10:04:23,2,161,0,0,0,1,0,0,160,0,0
2014-03-13 10:04:31,3,202,100,0,0,2,0,0,0,100,0
2014-03-13 10:04:32,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:04:38,8,602,200,0,0,2,0,0,0,400,0
2014-03-13 10:04:40,2,101,0,0,0,1,0,0,0,100,0
2014-03-13 10:04:45,4,400,200,0,0,0,0,0,0,200,0
2014-03-13 10:04:46,1,900,900,0,0,0,0,0,0,0,0
2014-03-13 10:04:47,7,801,200,0,100,1,0,0,100,400,0
2014-03-13 10:05:27,15,1018,0,0,0,106,200,0,100,459,153
2014-03-13 10:06:07,1,2,0,0,0,2,0,0,0,0,0
2014-03-13 10:06:09,2,44,0,0,0,4,0,0,40,0,0
2014-03-13 10:06:46,1,9,0,0,0,0,0,0,0,0,9
2014-03-13 10:07:07,1,11,0,0,0,0,0,0,0,11,0
2014-03-13 10:07:49,5,288,0,0,0,1,187,0,0,100,0
2014-03-13 10:07:50,1,4,0,0,0,4,0,0,0,0,0
2014-03-13 10:07:55,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:08:26,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:08:32,7,127,100,0,0,10,17,0,0,0,0
2014-03-13 10:08:33,2,6,0,0,0,6,0,0,0,0,0
2014-03-13 10:08:41,18,3897,2713,0,300,27,100,0,0,657,100
2014-03-13 10:08:42,1,1,0,0,0,1,0,0,0,0,0
2014-03-13 10:08:43,5,479,0,0,0,3,0,0,0,476,0
2014-03-13 10:08:45,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:09:06,1,3,0,0,0,3,0,0,0,0,0
2014-03-13 10:09:07,1,21,0,0,0,0,0,0,0,21,0
2014-03-13 10:09:10,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:09:12,12,1897,100,0,1231,0,100,0,182,284,0
2014-03-13 10:09:33,6,402,0,0,0,0,0,0,100,302,0
2014-03-13 10:09:41,7,515,115,0,0,91,0,100,100,100,9
2014-03-13 10:09:54,2,102,0,0,0,2,0,0,0,0,100
2014-03-13 10:10:00,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:10:08,1,2,0,0,0,2,0,0,0,0,0
2014-03-13 10:10:14,1,2,0,0,0,2,0,0,0,0,0
2014-03-13 10:10:24,1,1,0,0,0,1,0,0,0,0,0
2014-03-13 10:10:25,3,420,0,0,0,220,100,0,100,0,0
2014-03-13 10:10:45,3,500,420,0,0,80,0,0,0,0,0
2014-03-13 10:10:51,7,800,0,0,0,0,200,0,300,300,0
2014-03-13 10:10:55,5,4380,4080,0,0,0,0,0,0,200,100
2014-03-13 10:10:56,2,213,0,0,0,0,213,0,0,0,0
2014-03-13 10:11:14,5,487,0,0,0,0,287,0,0,0,200
2014-03-13 10:11:49,1,37,0,0,0,37,0,0,0,0,0
2014-03-13 10:12:05,2,200,0,0,0,0,0,0,200,0,0
2014-03-13 10:12:10,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:12:14,3,700,0,0,600,0,0,0,0,0,100
2014-03-13 10:12:40,1,400,0,0,400,0,0,0,0,0,0
2014-03-13 10:12:49,2,200,0,0,0,0,0,0,200,0,0
2014-03-13 10:12:59,3,300,0,0,100,100,0,0,0,100,0
2014-03-13 10:13:44,2,400,0,0,400,0,0,0,0,0,0
2014-03-13 10:14:20,1,13,0,0,0,0,13,0,0,0,0
2014-03-13 10:14:53,2,300,0,0,200,0,100,0,0,0,0
2014-03-13 10:15:07,1,21,21,0,0,0,0,0,0,0,0
2014-03-13 10:15:08,4,500,0,0,100,0,0,0,300,100,0
2014-03-13 10:15:45,3,350,0,0,350,0,0,0,0,0,0
2014-03-13 10:15:56,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:16:01,4,400,0,0,0,300,0,0,0,100,0
2014-03-13 10:16:23,5,502,0,0,0,2,0,0,200,300,0
2014-03-13 10:16:28,17,1886,279,0,700,107,0,0,100,700,0
2014-03-13 10:16:29,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:17:36,10,607,201,0,0,306,0,0,0,100,0
2014-03-13 10:17:45,1,50,0,0,0,0,0,0,0,50,0
2014-03-13 10:18:23,8,804,0,0,600,104,0,0,0,100,0
2014-03-13 10:18:32,7,505,0,0,0,5,0,0,0,400,100
2014-03-13 10:18:39,5,305,100,0,0,5,0,0,0,200,0
2014-03-13 10:19:46,6,325,0,0,113,102,0,0,0,0,110
2014-03-13 10:19:55,3,300,100,0,200,0,0,0,0,0,0
2014-03-13 10:19:57,5,402,0,0,0,102,0,0,0,200,100
2014-03-13 10:20:11,3,104,100,0,0,4,0,0,0,0,0
2014-03-13 10:20:44,7,974,0,0,0,2,100,0,0,772,100
2014-03-13 10:21:03,3,1500,1400,0,0,0,0,0,0,100,0
2014-03-13 10:21:23,3,600,0,0,100,0,400,0,0,100,0
2014-03-13 10:21:34,4,500,300,0,0,0,200,0,0,0,0
2014-03-13 10:21:39,3,250,0,0,0,0,0,0,0,250,0
2014-03-13 10:22:07,21,17305,10000,0,500,5,5200,0,0,1000,600
2014-03-13 10:22:13,1,200,0,0,0,0,0,0,0,200,0
2014-03-13 10:22:15,1,200,0,0,0,0,0,0,0,200,0
2014-03-13 10:22:18,2,300,100,0,0,0,0,0,0,200,0
2014-03-13 10:22:25,1,500,0,0,0,0,0,0,0,0,500
2014-03-13 10:22:26,4,405,0,0,0,0,200,0,0,200,5
2014-03-13 10:22:30,4,299,0,0,0,0,0,0,0,200,99
2014-03-13 10:23:18,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:24:04,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:24:19,1,300,300,0,0,0,0,0,0,0,0
2014-03-13 10:24:29,2,102,0,0,0,2,0,0,0,100,0
2014-03-13 10:24:32,3,400,0,0,0,0,100,0,0,300,0
2014-03-13 10:24:50,3,400,200,0,100,0,100,0,0,0,0
2014-03-13 10:24:58,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:25:02,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:25:07,4,600,100,0,0,0,0,0,300,200,0
2014-03-13 10:25:11,8,789,0,0,183,6,0,0,100,500,0
2014-03-13 10:25:39,3,200,0,0,100,100,0,0,0,0,0
2014-03-13 10:25:53,6,405,100,0,0,5,0,0,0,300,0
2014-03-13 10:25:54,3,300,0,0,100,0,0,0,0,200,0
2014-03-13 10:26:39,6,595,100,0,0,0,0,0,95,400,0
2014-03-13 10:26:43,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:27:35,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:28:00,4,700,100,0,0,0,0,0,0,600,0
2014-03-13 10:28:52,1,1,0,0,0,1,0,0,0,0,0
2014-03-13 10:29:15,11,1304,200,0,0,504,0,0,0,600,0
2014-03-13 10:30:00,5,413,0,0,113,0,0,0,0,200,100
2014-03-13 10:30:01,56,20241,1750,200,436,1505,1000,0,1233,13217,900
2014-03-13 10:30:06,5,501,200,0,0,1,200,0,0,100,0
2014-03-13 10:30:12,4,304,100,0,100,4,0,0,0,100,0
2014-03-13 10:30:57,2,200,0,0,0,0,0,0,0,100,100
2014-03-13 10:31:08,7,900,100,0,300,0,0,0,0,400,100
2014-03-13 10:31:20,6,485,0,0,200,85,0,0,0,200,0
2014-03-13 10:31:38,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:31:40,2,200,0,0,0,0,0,0,0,0,200
2014-03-13 10:31:50,1,13,13,0,0,0,0,0,0,0,0
2014-03-13 10:31:55,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:32:00,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:32:20,9,444,0,0,142,302,0,0,0,0,0
2014-03-13 10:32:28,6,600,200,0,100,0,100,0,0,100,100
2014-03-13 10:32:57,2,200,0,0,0,0,100,0,0,0,100
2014-03-13 10:32:58,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:33:00,1,100,0,0,0,100,0,0,0,0,0
2014-03-13 10:33:21,7,603,0,0,0,403,0,0,0,200,0
2014-03-13 10:33:57,5,390,300,0,0,3,0,0,0,0,87
2014-03-13 10:34:02,1,500,0,0,0,0,500,0,0,0,0
2014-03-13 10:34:11,2,43,0,0,0,3,0,0,0,40,0
2014-03-13 10:35:02,6,1300,0,0,900,0,100,0,0,300,0
2014-03-13 10:35:08,8,922,0,0,100,20,600,0,0,2,200
2014-03-13 10:35:20,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:35:21,1,225,225,0,0,0,0,0,0,0,0
2014-03-13 10:35:30,5,307,0,0,100,7,0,0,0,200,0
2014-03-13 10:36:19,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:36:33,2,200,0,0,0,100,0,0,0,100,0
2014-03-13 10:36:39,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:36:59,2,103,0,0,0,3,0,0,0,0,100
2014-03-13 10:37:01,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:37:12,5,679,0,0,0,0,0,0,200,66,413
2014-03-13 10:37:39,7,834,0,0,100,3,100,0,0,631,0
2014-03-13 10:38:07,5,400,125,0,100,0,0,0,0,175,0
2014-03-13 10:38:08,2,400,300,0,0,0,100,0,0,0,0
2014-03-13 10:38:32,4,500,0,0,0,0,200,0,0,200,100
2014-03-13 10:39:56,1,99,0,0,99,0,0,0,0,0,0
2014-03-13 10:41:15,7,677,100,0,0,2,0,0,0,575,0
2014-03-13 10:41:41,13,1414,100,0,0,14,0,0,0,800,500
2014-03-13 10:41:45,4,204,100,0,0,4,0,0,0,100,0
2014-03-13 10:41:49,1,100,0,0,0,100,0,0,0,0,0
2014-03-13 10:42:03,3,221,0,0,100,0,0,0,0,121,0
2014-03-13 10:43:00,7,502,0,0,0,2,0,0,0,300,200
2014-03-13 10:43:07,20,2693,300,0,0,3,1090,0,0,1200,100
2014-03-13 10:43:39,2,200,200,0,0,0,0,0,0,0,0
2014-03-13 10:44:09,1,50,0,0,0,0,50,0,0,0,0
2014-03-13 10:44:13,11,1101,0,0,100,0,0,0,0,901,100
2014-03-13 10:44:46,1,35,0,0,0,0,0,0,35,0,0
2014-03-13 10:44:55,3,214,0,0,0,0,0,0,0,114,100
2014-03-13 10:45:57,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:46:00,2,101,0,0,0,101,0,0,0,0,0
2014-03-13 10:46:16,4,400,0,0,0,100,0,0,0,200,100
2014-03-13 10:49:16,7,555,100,0,200,8,47,0,0,200,0
2014-03-13 10:49:17,1,4,0,0,0,4,0,0,0,0,0
2014-03-13 10:49:20,1,3,0,0,0,3,0,0,0,0,0
2014-03-13 10:49:25,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:49:42,3,300,0,0,100,0,0,0,0,200,0
2014-03-13 10:49:52,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:50:16,1,300,0,0,0,0,300,0,0,0,0
2014-03-13 10:50:51,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:51:22,6,600,0,0,200,100,0,0,0,300,0
2014-03-13 10:52:13,26,4904,0,0,600,604,200,0,0,3300,200
2014-03-13 10:52:14,4,400,0,0,100,0,0,0,0,300,0
2014-03-13 10:52:15,2,200,0,0,0,0,0,0,0,200,0
2014-03-13 10:52:16,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:52:19,2,200,0,0,0,0,0,0,0,200,0
2014-03-13 10:52:21,1,1,0,0,0,1,0,0,0,0,0
2014-03-13 10:52:23,2,200,0,0,0,200,0,0,0,0,0
2014-03-13 10:52:31,2,100,0,0,0,100,0,0,0,0,0
2014-03-13 10:53:08,1,21,0,0,0,0,0,0,0,21,0
2014-03-13 10:53:09,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:54:22,6,10079,0,0,0,0,100,0,0,9979,0
2014-03-13 10:54:23,14,1206,100,0,300,109,400,0,0,0,297
2014-03-13 10:54:25,1,96,0,0,0,0,0,0,0,96,0
2014-03-13 10:54:28,2,103,0,0,0,3,0,0,0,100,0
2014-03-13 10:55:03,8,1105,0,0,0,105,300,0,0,700,0
2014-03-13 10:55:04,10,27,0,0,0,27,0,0,0,0,0
2014-03-13 10:55:05,10,21,0,0,0,21,0,0,0,0,0
2014-03-13 10:55:06,13,2320,2000,0,0,20,0,0,0,300,0
2014-03-13 10:55:47,3,202,0,0,0,6,196,0,0,0,0
2014-03-13 10:56:15,19,2301,100,0,200,601,100,100,200,700,300
2014-03-13 10:56:22,3,205,0,0,0,5,0,0,0,200,0
