TimeInterval,TradeCount,Volume,NYSE MKT,NYSE Arca SM,NASDAQ OMX BX,BATS,National,NASDAQ,CBOE,Direct Edge X,NASDAQ OMX PSX,BATS Y,Direct Edge A
2014-03-13 09:34:40,1,75,0,75,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:45,2,800,0,800,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:51,3,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:53,2,200,0,0,0,100,0,100,0,0,0,0,0
2014-03-13 09:34:56,26,8060,0,1500,100,560,0,2900,0,1200,0,200,1600
2014-03-13 09:34:57,9,1300,0,800,0,400,0,100,0,0,0,0,0
2014-03-13 09:34:59,6,800,0,400,0,100,0,300,0,0,0,0,0
2014-03-13 09:35:06,36,8900,0,4700,200,3000,0,500,0,0,0,200,300
2014-03-13 09:35:13,102,26800,0,4900,1400,10500,0,2600,0,1500,0,4200,1700
2014-03-13 09:35:16,2,200,0,0,0,100,0,100,0,0,0,0,0
2014-03-13 09:35:18,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:35:22,91,11900,0,9000,200,500,200,1000,0,400,0,300,300
2014-03-13 09:35:27,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:35:28,18,4400,0,2000,0,800,0,700,0,300,0,600,0
2014-03-13 09:35:29,22,4500,0,1000,600,1600,0,400,0,0,300,400,200
2014-03-13 09:35:30,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:35:31,2,700,0,0,0,300,0,400,0,0,0,0,0
2014-03-13 09:35:32,5,1400,0,0,400,0,0,1000,0,0,0,0,0
2014-03-13 09:35:37,33,6000,0,1200,700,2300,100,600,0,200,0,600,300
2014-03-13 09:35:51,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:35:57,44,8007,0,1100,1800,1900,0,2707,0,300,100,100,0
2014-03-13 09:35:59,3,600,0,0,100,200,0,300,0,0,0,0,0
2014-03-13 09:36:01,3,300,0,0,300,0,0,0,0,0,0,0,0
2014-03-13 09:36:03,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:36:05,3,300,0,0,100,0,0,200,0,0,0,0,0
2014-03-13 09:36:09,16,3500,0,800,0,500,0,1700,0,100,0,300,100
2014-03-13 09:36:10,3,300,0,0,100,0,200,0,0,0,0,0,0
2014-03-13 09:36:18,21,4000,200,0,200,600,0,200,0,100,900,1000,800
2014-03-13 09:36:19,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:36:21,38,8906,1900,300,0,2000,0,3406,0,800,0,400,100
2014-03-13 09:36:24,1,35,0,0,0,35,0,0,0,0,0,0,0
2014-03-13 09:36:25,3,500,0,0,0,0,0,500,0,0,0,0,0
2014-03-13 09:36:28,10,1915,0,0,0,1200,0,715,0,0,0,0,0
2014-03-13 09:36:30,29,4600,0,600,300,500,200,1800,0,500,0,500,200
2014-03-13 09:36:39,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:36:47,15,4100,0,0,0,0,0,4100,0,0,0,0,0
2014-03-13 09:36:51,31,9800,1000,1200,0,2700,0,3500,0,900,0,100,400
2014-03-13 09:36:55,24,6300,0,0,600,300,0,4900,0,0,0,400,100
2014-03-13 09:36:58,3,5100,100,0,0,100,0,4900,0,0,0,0,0
2014-03-13 09:37:00,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:37:03,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:37:05,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:37:08,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:37:10,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:37:13,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:37:15,49,13334,900,1100,0,4500,0,5834,0,200,0,800,0
2014-03-13 09:37:16,1,2500,0,0,0,0,0,2500,0,0,0,0,0
2014-03-13 09:37:18,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:37:20,71,14300,1000,1700,400,3000,200,4400,0,500,0,2800,300
2014-03-13 09:37:23,2,800,0,0,0,700,0,0,0,0,0,100,0
2014-03-13 09:37:26,1,400,0,0,0,400,0,0,0,0,0,0,0
2014-03-13 09:37:33,46,15470,1000,718,800,4952,0,6900,0,100,0,400,600
2014-03-13 09:37:35,7,1700,600,100,0,300,0,700,0,0,0,0,0
2014-03-13 09:37:37,25,3800,0,500,900,0,0,1900,0,200,0,200,100
2014-03-13 09:37:38,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:37:39,8,1600,0,0,0,100,0,1000,0,0,0,200,300
2014-03-13 09:37:44,9,1900,0,0,0,400,0,600,0,0,0,0,900
2014-03-13 09:37:48,41,6648,0,1100,500,2500,0,100,0,600,0,348,1500
2014-03-13 09:37:49,2,1000,0,1000,0,0,0,0,0,0,0,0,0
2014-03-13 09:37:51,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:37:54,85,18450,300,0,600,5500,200,8650,0,0,0,1400,1800
2014-03-13 09:37:59,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:38:03,6,800,0,0,0,200,0,600,0,0,0,0,0
2014-03-13 09:38:05,2,200,0,200,0,0,0,0,0,0,0,0,0
2014-03-13 09:38:06,3,400,0,0,0,100,0,200,0,100,0,0,0
2014-03-13 09:38:13,27,4400,300,0,600,2148,0,552,0,200,0,500,100
2014-03-13 09:38:21,3,300,0,0,0,0,0,200,0,0,0,100,0
2014-03-13 09:38:23,28,5400,400,400,300,2600,300,0,0,600,0,400,400
2014-03-13 09:38:24,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:38:29,47,15100,400,1800,100,7157,0,4313,0,1130,0,100,100
2014-03-13 09:38:33,4,1100,0,100,0,1000,0,0,0,0,0,0,0
2014-03-13 09:38:41,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:38:43,1,200,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:38:44,19,12008,0,200,0,4975,0,6833,0,0,0,0,0
2014-03-13 09:38:45,2,774,0,0,0,0,0,774,0,0,0,0,0
2014-03-13 09:38:51,9,1700,0,200,100,200,0,1100,0,100,0,0,0
2014-03-13 09:38:54,35,7348,400,0,900,1148,0,3900,0,0,0,400,600
2014-03-13 09:38:58,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:12,2,200,0,100,100,0,0,0,0,0,0,0,0
2014-03-13 09:39:13,21,9280,400,0,0,3800,0,2280,0,2800,0,0,0
2014-03-13 09:39:14,6,1100,0,100,0,0,0,0,0,0,0,900,100
2014-03-13 09:39:16,1,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:39:19,1,100,0,0,0,100,0,0,0,0,0,0,0
