TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,National,Direct Edge A,BATS,NASDAQ OMX PSX,Direct Edge X,NYSE Arca SM,CBOE,NASDAQ,BATS Y
2014-03-13 09:34:03,6,430,0,0,0,0,0,0,100,100,0,205,25
2014-03-13 09:34:05,8,511,0,0,0,0,0,0,200,300,0,11,0
2014-03-13 09:34:06,6,610,0,0,0,0,500,0,0,100,0,10,0
2014-03-13 09:34:09,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:11,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:13,3,200,0,0,0,0,0,0,0,0,100,100,0
2014-03-13 09:34:15,16,1810,0,0,0,0,0,0,1142,200,0,468,0
2014-03-13 09:34:16,9,721,0,100,0,0,0,0,20,0,0,101,500
2014-03-13 09:34:17,6,239,0,0,0,0,0,0,0,0,0,239,0
2014-03-13 09:34:18,1,20,0,20,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:20,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:34:21,5,450,0,100,0,100,100,0,0,0,0,150,0
2014-03-13 09:34:25,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:34:28,2,110,0,0,0,0,0,0,0,0,0,110,0
2014-03-13 09:34:30,5,259,0,0,0,0,0,0,0,0,0,259,0
2014-03-13 09:34:39,5,411,0,0,0,0,100,0,0,200,0,11,100
2014-03-13 09:34:40,1,1,0,0,0,0,0,0,0,0,0,1,0
2014-03-13 09:34:42,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:34:43,7,328,0,0,0,0,0,0,0,0,0,328,0
2014-03-13 09:34:47,1,3,0,0,0,0,0,0,0,0,0,3,0
2014-03-13 09:34:48,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:34:50,19,771,0,0,0,0,313,0,0,0,0,458,0
2014-03-13 09:34:51,2,200,0,0,0,0,100,0,0,0,0,100,0
2014-03-13 09:34:52,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:34:53,14,1000,0,100,0,100,300,0,100,0,0,300,100
2014-03-13 09:34:54,2,225,0,0,0,0,0,0,125,0,0,100,0
2014-03-13 09:34:56,1,120,0,0,0,0,0,0,0,120,0,0,0
2014-03-13 09:34:59,1,126,0,0,0,0,0,0,0,126,0,0,0
2014-03-13 09:35:00,21,1374,0,100,0,17,250,0,181,100,0,726,0
2014-03-13 09:35:01,13,1401,0,0,0,200,0,0,1146,0,0,55,0
2014-03-13 09:35:02,7,901,0,0,0,0,200,0,600,0,0,101,0
2014-03-13 09:35:18,5,470,0,0,0,0,100,0,0,0,0,0,370
2014-03-13 09:35:20,2,110,0,0,0,0,0,0,0,100,0,10,0
2014-03-13 09:35:21,1,2,0,0,0,0,0,0,0,0,0,2,0
2014-03-13 09:35:22,16,1400,0,0,0,0,400,0,0,200,0,700,100
2014-03-13 09:35:24,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:35:26,1,60,0,0,0,0,0,0,0,0,0,0,60
2014-03-13 09:35:29,1,10,0,0,0,0,10,0,0,0,0,0,0
2014-03-13 09:35:32,1,10,0,0,0,0,0,0,0,0,0,10,0
2014-03-13 09:35:33,1,20,0,0,0,0,0,0,0,0,0,20,0
2014-03-13 09:35:37,3,300,0,0,0,200,100,0,0,0,0,0,0
2014-03-13 09:35:39,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:35:42,12,1212,0,0,0,0,183,0,406,200,0,423,0
2014-03-13 09:35:43,4,400,0,0,0,0,200,0,100,0,0,100,0
2014-03-13 09:35:45,2,7,0,0,0,0,0,0,0,0,0,2,5
2014-03-13 09:35:46,19,3038,0,0,0,0,0,0,2194,300,0,444,100
2014-03-13 09:35:47,6,502,0,100,0,0,300,0,0,102,0,0,0
2014-03-13 09:35:49,1,3,0,3,0,0,0,0,0,0,0,0,0
2014-03-13 09:35:50,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:35:52,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:35:54,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:35:56,1,52,0,0,0,0,0,0,0,0,0,52,0
2014-03-13 09:35:57,3,300,0,0,0,100,0,0,0,0,0,200,0
2014-03-13 09:36:02,2,300,0,0,0,0,300,0,0,0,0,0,0
2014-03-13 09:36:05,1,50,0,0,0,0,0,0,0,0,0,50,0
2014-03-13 09:36:09,3,155,0,0,0,0,0,0,0,138,0,17,0
