TimeInterval,TradeCount,Volume,Direct Edge A,Direct Edge X,NASDAQ OMX PSX,NASDAQ OMX,NYSE Arca SM,NASDAQ OMX BX,BATS,CBOE,BATS Y,National,NYSE
2014-03-13 09:43:15,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:43:26,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:43:27,6,900,100,0,0,300,0,400,0,0,0,0,100
2014-03-13 09:43:37,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:43:39,2,200,100,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:43:48,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:43:59,2,300,0,0,0,0,100,0,0,0,200,0,0
2014-03-13 09:44:10,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:44:21,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:44:26,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:44:27,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:44:31,10,21400,0,100,0,0,0,300,0,0,700,0,20300
2014-03-13 09:44:32,3,500,0,0,0,0,100,0,0,0,400,0,0
2014-03-13 09:44:33,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:44:35,9,1700,500,0,0,0,0,0,0,0,1200,0,0
2014-03-13 09:44:36,45,10522,0,1018,0,2602,902,0,4800,0,1200,0,0
2014-03-13 09:44:38,7,2300,0,200,0,0,0,1400,0,0,700,0,0
2014-03-13 09:44:51,4,500,0,0,0,66,100,0,0,0,334,0,0
2014-03-13 09:44:52,1,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:44:56,1,3000,0,0,0,0,0,0,0,0,0,0,3000
2014-03-13 09:44:57,1,600,0,600,0,0,0,0,0,0,0,0,0
2014-03-13 09:45:03,2,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:45:05,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:45:16,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:45:17,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:45:27,16,5298,0,0,0,859,139,0,1300,0,0,0,3000
2014-03-13 09:45:28,8,1964,0,1700,0,0,164,0,0,0,0,0,100
2014-03-13 09:45:29,2,300,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 09:45:30,1,62,0,0,0,0,0,0,62,0,0,0,0
2014-03-13 09:45:33,2,400,0,0,0,0,0,0,0,0,400,0,0
2014-03-13 09:45:35,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:45:39,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:45:41,1,300,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 09:45:44,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:45:49,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:46:00,6,1600,0,0,0,0,200,0,0,0,1400,0,0
