"","Date","TOD","Exchange","Volume","Proportion"
"168",20140902,"After-Hours","BATS",23659,0.0257747457822846
"169",20140903,"After-Hours","BATS",300,0.00132257054811732
"170",20140904,"After-Hours","BATS",25758,0.0381443466903212
"171",20140905,"After-Hours","BATS",51083,0.0531706387908449
"172",20140908,"After-Hours","BATS",72348,0.0569810622319709
"173",20140909,"After-Hours","BATS",85739,0.038312582304421
"174",20140910,"After-Hours","BATS",9300,0.0179172454450702
"175",20140911,"After-Hours","BATS",36943,0.0512951885854563
"176",20140912,"After-Hours","BATS",31242,0.0530359616481517
"177",20140915,"After-Hours","BATS",14599,0.0250099789798999
"178",20140916,"After-Hours","BATS",6293,0.0154559922977925
"179",20140917,"After-Hours","BATS",15050,0.0324178782983306
"180",20140918,"After-Hours","BATS",21113,0.0379843622376465
"181",20140919,"After-Hours","BATS",49971,0.0391786524914443
"182",20140922,"After-Hours","BATS",15462,0.0145977821038858
"183",20140923,"After-Hours","BATS",19990,0.0306395840741604
"184",20140924,"After-Hours","BATS",16698,0.0245332612429422
"185",20140925,"After-Hours","BATS",14790,0.0175790791129875
"186",20140926,"After-Hours","BATS",13148,0.0177907917633018
"187",20140929,"After-Hours","BATS",15000,0.0193717608801495
"188",20140930,"After-Hours","BATS",14403,0.017569326442062
"189",20140102,"Close","BATS",0,0
"190",20140103,"Close","BATS",0,0
"191",20140106,"Close","BATS",0,0
"192",20140107,"Close","BATS",0,0
"193",20140108,"Close","BATS",0,0
"194",20140109,"Close","BATS",0,0
"195",20140110,"Close","BATS",0,0
"196",20140113,"Close","BATS",0,0
"197",20140114,"Close","BATS",0,0
"198",20140115,"Close","BATS",0,0
"199",20140116,"Close","BATS",0,0
"200",20140117,"Close","BATS",0,0
"201",20140121,"Close","BATS",0,0
"202",20140122,"Close","BATS",0,0
"203",20140123,"Close","BATS",0,0
"204",20140124,"Close","BATS",0,0
"205",20140127,"Close","BATS",0,0
"206",20140128,"Close","BATS",0,0
"207",20140129,"Close","BATS",0,0
"208",20140130,"Close","BATS",0,0
"209",20140131,"Close","BATS",0,0
"210",20140203,"Close","BATS",0,0
"211",20140204,"Close","BATS",0,0
"212",20140205,"Close","BATS",0,0
"213",20140206,"Close","BATS",0,0
"214",20140207,"Close","BATS",0,0
"215",20140210,"Close","BATS",0,0
"216",20140211,"Close","BATS",0,0
"217",20140212,"Close","BATS",0,0
"218",20140213,"Close","BATS",0,0
"219",20140214,"Close","BATS",0,0
"220",20140218,"Close","BATS",0,0
"221",20140219,"Close","BATS",0,0
"222",20140220,"Close","BATS",0,0
"223",20140221,"Close","BATS",0,0
"224",20140224,"Close","BATS",0,0
"225",20140225,"Close","BATS",0,0
"226",20140226,"Close","BATS",0,0
"227",20140227,"Close","BATS",0,0
"228",20140228,"Close","BATS",0,0
