TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,Direct Edge A,NASDAQ OMX,Direct Edge X,NASDAQ OMX PSX,NYSE Arca SM,BATS Y,NYSE,BATS,National
2014-03-13 09:39:57,6,900,0,0,100,0,100,100,100,300,200,0,0
2014-03-13 09:39:58,6,648,0,174,0,100,274,0,100,0,0,0,0
2014-03-13 09:40:00,4,400,0,0,0,100,200,0,100,0,0,0,0
2014-03-13 09:40:02,8,856,0,0,0,300,0,0,100,0,456,0,0
2014-03-13 09:40:03,2,126,0,0,0,0,26,0,100,0,0,0,0
2014-03-13 09:40:05,4,300,0,0,0,100,100,0,100,0,0,0,0
2014-03-13 09:40:08,14,2371,0,626,0,500,800,0,400,0,0,45,0
2014-03-13 09:40:09,6,700,0,0,200,200,0,0,100,100,100,0,0
2014-03-13 09:40:12,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:40:14,3,300,0,0,0,0,100,0,100,0,100,0,0
2014-03-13 09:40:18,2,126,0,100,26,0,0,0,0,0,0,0,0
2014-03-13 09:40:19,4,474,0,100,74,100,0,0,0,200,0,0,0
2014-03-13 09:40:20,4,350,0,200,0,50,0,0,0,0,100,0,0
2014-03-13 09:40:28,24,2800,0,0,300,400,500,100,400,100,600,400,0
2014-03-13 09:40:31,1,5,0,0,0,0,0,0,0,0,5,0,0
2014-03-13 09:40:36,25,2825,0,600,0,445,500,200,600,85,395,0,0
2014-03-13 09:40:37,6,500,0,85,300,0,0,0,0,115,0,0,0
2014-03-13 09:40:38,3,157,0,0,0,55,0,0,2,0,100,0,0
2014-03-13 09:40:50,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:40:52,1,1000,0,0,0,0,0,0,0,1000,0,0,0
2014-03-13 09:41:03,8,728,0,200,0,0,0,0,300,0,0,228,0
2014-03-13 09:41:04,12,1100,0,0,0,100,100,0,700,0,100,100,0
2014-03-13 09:41:05,17,2321,0,300,0,800,400,0,601,0,220,0,0
2014-03-13 09:41:08,1,3,0,0,0,0,3,0,0,0,0,0,0
2014-03-13 09:41:09,9,1247,0,0,0,0,1100,0,0,0,147,0,0
2014-03-13 09:41:10,5,500,0,0,0,0,300,0,100,0,100,0,0
2014-03-13 09:41:12,4,501,0,0,0,0,0,0,501,0,0,0,0
2014-03-13 09:41:15,3,220,0,0,0,0,100,0,0,0,100,20,0
2014-03-13 09:41:16,23,3975,0,0,0,675,900,400,1800,0,0,200,0
2014-03-13 09:41:17,6,1000,0,0,0,500,100,0,0,0,200,200,0
2014-03-13 09:41:18,7,700,0,0,0,200,100,0,100,0,200,100,0
2014-03-13 09:41:24,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:41:26,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:41:28,6,664,0,0,0,164,0,0,100,0,400,0,0
2014-03-13 09:41:29,6,519,0,0,200,100,0,0,19,0,200,0,0
2014-03-13 09:41:33,6,600,0,0,200,200,0,0,200,0,0,0,0
2014-03-13 09:41:34,13,1400,0,0,400,0,199,0,201,0,600,0,0
2014-03-13 09:41:35,14,1701,0,0,0,336,100,0,100,500,465,200,0
2014-03-13 09:41:38,2,480,0,180,300,0,0,0,0,0,0,0,0
2014-03-13 09:41:39,3,300,0,0,0,0,0,0,100,0,200,0,0
2014-03-13 09:41:41,14,1472,0,0,0,708,464,0,200,0,100,0,0
2014-03-13 09:41:42,1,8,0,0,0,8,0,0,0,0,0,0,0
2014-03-13 09:41:43,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:41:44,3,1300,0,900,0,300,0,0,100,0,0,0,0
2014-03-13 09:41:45,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:41:47,15,1730,0,320,0,300,210,100,500,100,0,200,0
2014-03-13 09:41:55,6,610,0,0,101,0,0,0,300,0,209,0,0
2014-03-13 09:41:56,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:41:57,14,1902,0,0,0,400,651,0,851,0,0,0,0
2014-03-13 09:41:59,4,700,0,700,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:05,15,1976,0,0,0,300,700,0,976,0,0,0,0
2014-03-13 09:42:06,8,654,0,0,0,405,49,0,200,0,0,0,0
2014-03-13 09:42:09,9,1396,0,0,0,595,501,0,300,0,0,0,0
2014-03-13 09:42:10,3,300,0,0,0,100,0,0,100,0,100,0,0
2014-03-13 09:42:12,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:42:13,9,1200,0,500,0,100,100,0,200,0,200,100,0
2014-03-13 09:42:15,5,600,0,0,0,200,0,0,100,200,100,0,0
2014-03-13 09:42:17,3,1094,0,0,0,994,0,0,100,0,0,0,0
2014-03-13 09:42:20,18,2100,0,100,200,600,100,0,200,0,500,400,0
2014-03-13 09:42:21,2,120,0,0,0,0,0,0,0,0,120,0,0
2014-03-13 09:42:22,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:42:24,3,314,0,300,0,0,0,0,0,0,0,14,0
2014-03-13 09:42:30,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:42:33,2,200,0,0,0,100,0,0,0,0,100,0,0
2014-03-13 09:42:34,9,992,0,0,0,100,200,0,300,100,292,0,0
2014-03-13 09:42:40,1,40,0,0,0,0,0,0,0,0,40,0,0
2014-03-13 09:42:41,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:42:42,14,2498,0,0,0,700,998,0,800,0,0,0,0
2014-03-13 09:42:46,13,1209,0,0,100,475,0,0,100,0,434,100,0
2014-03-13 09:42:48,1,34,0,0,0,0,0,0,0,0,34,0,0
2014-03-13 09:42:49,3,143,0,0,0,0,0,0,11,0,132,0,0
2014-03-13 09:42:50,14,2202,0,0,0,600,602,0,400,100,400,100,0
2014-03-13 09:42:51,3,300,0,0,0,200,0,0,0,0,100,0,0
2014-03-13 09:42:54,6,503,0,0,0,100,0,0,403,0,0,0,0
2014-03-13 09:42:55,1,32,0,0,0,0,0,0,32,0,0,0,0
2014-03-13 09:42:56,7,603,0,0,0,100,100,0,303,0,100,0,0
2014-03-13 09:42:58,2,200,0,0,0,0,100,0,100,0,0,0,0
2014-03-13 09:42:59,5,385,0,0,0,0,0,0,385,0,0,0,0
2014-03-13 09:43:00,2,115,0,0,0,0,0,0,115,0,0,0,0
2014-03-13 09:43:06,3,300,0,0,0,100,100,0,100,0,0,0,0
2014-03-13 09:43:08,4,400,0,0,0,100,100,0,100,0,100,0,0
2014-03-13 09:43:10,3,300,0,0,0,100,100,0,100,0,0,0,0
2014-03-13 09:43:13,31,4797,0,0,1,1300,1300,0,1900,0,100,196,0
2014-03-13 09:43:14,24,3040,0,0,0,525,500,100,1000,0,915,0,0
2014-03-13 09:43:15,6,1000,0,400,0,175,0,0,25,0,300,100,0
2014-03-13 09:43:16,10,1360,0,200,100,200,0,0,275,200,285,100,0
2014-03-13 09:43:19,2,200,0,0,0,100,0,0,0,0,100,0,0
2014-03-13 09:43:21,5,550,0,0,0,25,25,0,200,0,300,0,0
2014-03-13 09:43:26,5,536,0,0,100,0,100,0,0,100,236,0,0
2014-03-13 09:43:36,4,350,0,0,0,200,150,0,0,0,0,0,0
2014-03-13 09:43:37,3,270,0,100,0,70,0,0,100,0,0,0,0
2014-03-13 09:43:38,3,300,0,0,0,100,100,0,100,0,0,0,0
2014-03-13 09:43:39,25,3392,0,1046,0,300,800,0,812,100,234,100,0
2014-03-13 09:43:40,16,1505,0,0,100,430,275,0,300,0,300,100,0
2014-03-13 09:43:41,7,900,0,300,0,300,200,0,100,0,0,0,0
2014-03-13 09:43:43,3,300,0,0,0,100,100,0,100,0,0,0,0
2014-03-13 09:43:44,7,700,0,300,0,100,100,0,100,0,100,0,0
2014-03-13 09:43:45,1,50,0,50,0,0,0,0,0,0,0,0,0
2014-03-13 09:43:50,4,377,0,300,0,0,77,0,0,0,0,0,0
2014-03-13 09:43:51,16,1600,0,100,0,300,200,0,200,0,700,100,0
