TimeInterval,TradeCount,Volume,BATS Y,NASDAQ OMX PSX,Direct Edge X,Chicago,BATS,CBOE,Direct Edge A,NASDAQ,NYSE Arca SM,NASDAQ OMX BX,National
2014-03-13 09:39:18,1,15,0,0,0,0,0,0,15,0,0,0,0
2014-03-13 09:39:25,17,1221,100,50,61,0,400,0,100,390,100,0,20
2014-03-13 09:39:29,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:39:30,6,691,0,100,490,0,0,0,0,101,0,0,0
2014-03-13 09:39:41,1,60,0,0,0,0,0,0,0,0,60,0,0
2014-03-13 09:39:42,4,215,0,0,0,0,100,0,0,101,14,0,0
2014-03-13 09:39:44,2,49,0,0,0,0,0,0,0,49,0,0,0
2014-03-13 09:39:45,5,225,0,0,0,0,0,0,0,125,100,0,0
2014-03-13 09:39:51,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:39:57,1,2,0,0,0,0,0,0,0,0,2,0,0
2014-03-13 09:39:58,12,486,0,0,100,0,0,0,0,175,211,0,0
2014-03-13 09:40:00,3,16,0,0,0,0,15,0,0,1,0,0,0
2014-03-13 09:40:08,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:40:10,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:40:12,2,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:40:20,2,200,0,0,0,0,0,0,0,100,0,100,0
2014-03-13 09:40:24,1,90,90,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:40:30,1,16,0,0,0,0,0,0,0,0,16,0,0
2014-03-13 09:40:31,7,456,0,50,0,0,406,0,0,0,0,0,0
2014-03-13 09:40:34,1,20,0,0,0,0,0,0,0,0,20,0,0
2014-03-13 09:40:45,1,14,0,0,0,0,14,0,0,0,0,0,0
2014-03-13 09:40:47,4,194,0,0,0,0,0,0,0,160,34,0,0
2014-03-13 09:40:48,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:40:54,1,50,0,0,0,0,50,0,0,0,0,0,0
2014-03-13 09:40:56,1,2,0,0,0,0,2,0,0,0,0,0,0
2014-03-13 09:40:58,3,300,100,0,0,0,0,0,0,200,0,0,0
2014-03-13 09:41:01,2,43,0,0,0,0,0,0,0,42,0,1,0
2014-03-13 09:41:04,2,200,0,0,100,0,0,0,0,100,0,0,0
2014-03-13 09:41:06,2,108,0,0,0,0,0,0,0,8,100,0,0
2014-03-13 09:41:16,3,200,0,0,0,0,0,0,0,200,0,0,0
2014-03-13 09:41:36,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:41:37,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:41:39,1,50,0,0,0,0,0,0,0,50,0,0,0
2014-03-13 09:41:44,1,47,0,0,0,0,0,0,0,0,47,0,0
2014-03-13 09:41:45,1,10,0,0,0,0,0,0,0,0,10,0,0
2014-03-13 09:41:53,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:42:05,8,470,90,0,0,0,90,0,0,100,100,90,0
2014-03-13 09:42:12,1,1,0,0,0,0,0,0,0,0,1,0,0
2014-03-13 09:42:19,15,444,0,0,0,0,100,0,0,229,115,0,0
2014-03-13 09:42:20,6,238,0,0,0,0,214,0,0,24,0,0,0
2014-03-13 09:42:21,1,9,0,0,0,0,0,0,0,9,0,0,0
2014-03-13 09:42:25,2,400,0,0,0,0,0,0,0,400,0,0,0
2014-03-13 09:42:29,3,300,0,0,0,0,200,0,100,0,0,0,0
2014-03-13 09:42:43,5,490,0,0,100,0,100,0,100,190,0,0,0
2014-03-13 09:42:44,3,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:42:45,10,531,0,0,253,0,0,0,0,38,240,0,0
2014-03-13 09:42:46,5,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:42:47,19,1923,0,0,316,0,0,0,100,1377,130,0,0
2014-03-13 09:42:48,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:42:50,1,9,0,0,0,0,0,0,0,9,0,0,0
2014-03-13 09:42:51,1,50,0,0,0,0,0,0,0,0,50,0,0
2014-03-13 09:42:53,1,50,0,0,0,0,50,0,0,0,0,0,0
2014-03-13 09:42:54,1,300,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 09:42:58,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:43:00,18,1234,500,0,1,0,0,0,400,233,0,100,0
2014-03-13 09:43:01,28,1500,0,0,203,0,200,0,0,812,185,100,0
2014-03-13 09:43:04,1,60,0,0,0,0,0,0,0,0,60,0,0
2014-03-13 09:43:05,6,468,0,0,0,0,0,0,288,0,180,0,0
2014-03-13 09:43:08,5,600,0,0,0,0,200,0,0,200,100,100,0
