TimeInterval,TradeCount,Volume,Chicago,BATS,NASDAQ OMX PSX,CBOE,BATS Y,NASDAQ OMX BX,Direct Edge A,Direct Edge X,NYSE Arca SM,NASDAQ OMX,NYSE,National
2014-03-13 09:39:26,1,400,0,0,0,0,400,0,0,0,0,0,0,0
2014-03-13 09:39:30,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:39:33,6,1700,0,800,0,0,100,0,0,0,0,0,800,0
2014-03-13 09:39:35,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:39:36,1,200,0,200,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:37,3,600,0,200,0,0,100,0,0,0,0,0,300,0
2014-03-13 09:39:42,1,100,0,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:39:46,1,200,0,200,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:48,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:39:50,2,6500,0,0,0,0,0,0,0,0,0,0,6500,0
2014-03-13 09:39:51,1,200,0,200,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:52,1,200,0,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:39:54,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:39:56,10,6400,0,0,0,0,0,5000,0,0,0,700,700,0
2014-03-13 09:39:58,2,300,0,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 09:40:00,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:40:04,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:40:05,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:40:08,3,898,0,0,0,0,200,698,0,0,0,0,0,0
2014-03-13 09:40:10,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:40:12,1,700,0,0,0,0,0,0,0,0,0,0,700,0
2014-03-13 09:40:15,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:40:17,16,5836,0,0,0,0,3200,1336,1300,0,0,0,0,0
2014-03-13 09:40:20,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:40:22,1,1000,0,0,0,0,0,0,0,0,1000,0,0,0
2014-03-13 09:40:23,1,200,0,0,0,0,200,0,0,0,0,0,0,0
