TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX,BATS,NASDAQ OMX BX,Direct Edge X,NASDAQ OMX PSX,National,NYSE Arca SM,Direct Edge A,BATS Y,NYSE
2014-03-13 09:37:49,5,384,0,0,0,0,0,0,0,184,0,0,200
2014-03-13 09:37:50,7,415,0,27,100,0,0,0,0,188,0,0,100
2014-03-13 09:37:54,1,10,0,0,0,0,0,0,0,0,0,0,10
2014-03-13 09:38:04,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:10,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:38:21,8,830,0,2,402,0,100,0,0,0,0,0,326
2014-03-13 09:38:25,2,400,0,0,0,0,0,0,0,0,0,0,400
2014-03-13 09:38:40,4,313,0,0,0,0,113,0,0,100,0,0,100
2014-03-13 09:38:42,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:38:43,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:49,1,5,0,0,0,0,0,0,0,0,0,0,5
2014-03-13 09:38:55,5,695,0,0,0,0,600,0,0,0,0,0,95
2014-03-13 09:38:57,1,14,0,0,0,0,0,0,0,0,0,0,14
2014-03-13 09:39:02,1,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:39:03,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:39:06,1,87,0,0,0,0,0,0,0,0,0,0,87
2014-03-13 09:39:12,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:39:14,10,1805,0,1305,100,0,0,0,0,200,0,0,200
2014-03-13 09:39:16,3,400,0,200,0,0,0,0,0,0,0,0,200
2014-03-13 09:39:24,5,900,0,0,0,500,100,0,0,0,0,200,100
2014-03-13 09:39:25,15,1977,0,1000,100,0,0,0,0,200,0,77,600
2014-03-13 09:39:26,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:39:28,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:39:29,6,500,0,200,0,0,0,0,0,100,100,0,100
2014-03-13 09:39:35,2,101,0,0,0,0,0,0,0,1,0,0,100
2014-03-13 09:39:37,3,800,0,0,0,0,700,0,0,0,0,0,100
2014-03-13 09:39:41,3,500,0,100,0,0,0,0,0,0,0,0,400
2014-03-13 09:39:46,2,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:39:47,4,2000,0,0,0,700,0,0,0,0,0,1300,0
2014-03-13 09:39:49,3,500,0,100,0,0,0,0,0,0,0,0,400
2014-03-13 09:40:02,5,600,0,0,0,0,0,0,0,0,0,0,600
2014-03-13 09:40:03,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:40:04,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:40:05,12,1800,0,100,300,200,100,0,0,200,200,400,300
2014-03-13 09:40:08,6,600,0,0,500,0,0,0,0,100,0,0,0
2014-03-13 09:40:10,4,900,0,100,700,0,0,0,0,0,0,0,100
2014-03-13 09:40:11,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:40:13,1,3,0,3,0,0,0,0,0,0,0,0,0
2014-03-13 09:40:17,5,800,0,100,100,0,100,0,0,100,0,0,400
2014-03-13 09:40:19,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:40:20,7,700,0,300,100,0,0,0,0,100,0,0,200
2014-03-13 09:40:25,2,113,0,100,0,0,0,0,0,0,0,0,13
2014-03-13 09:40:28,7,626,0,0,0,0,100,0,0,226,0,0,300
2014-03-13 09:40:31,1,300,0,0,300,0,0,0,0,0,0,0,0
2014-03-13 09:40:35,4,500,0,0,100,0,0,0,0,100,0,0,300
2014-03-13 09:40:38,2,197,0,0,0,0,100,0,0,97,0,0,0
2014-03-13 09:40:41,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:40:43,2,730,0,0,630,0,0,0,0,100,0,0,0
2014-03-13 09:40:45,4,400,0,300,100,0,0,0,0,0,0,0,0
