NASDAQ PSX,NSX,endTime,BATS BYX,startTime,BATS EDGX,BATS BZX,BATS EDGA,totalVolume,NASDAQ,NYSE Arca,CBSX,NASDAQ BX,CHX
0.0,0.0,2014-03-03 09:35:06,0.0,2014-03-03 09:35:01,0.12196914033798678,0.07421013960323292,0.0,1361,0.7083027185892726,0.02204261572373255,0.0,0.07347538574577517,0.0
0.0,0.0,2014-03-03 09:35:11,0.0,2014-03-03 09:35:06,0.0,0.0,0.0,340,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:35:16,0.0,2014-03-03 09:35:11,0.0,0.0,0.0,20,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:35:21,0.23255813953488372,2014-03-03 09:35:16,0.23255813953488372,0.0,0.23255813953488372,430,0.06976744186046512,0.0,0.0,0.23255813953488372,0.0
0.0,0.0,2014-03-03 09:35:26,0.0,2014-03-03 09:35:21,0.0,0.0,0.0,10,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:35:31,0.0,2014-03-03 09:35:26,0.07845433255269321,0.0,0.0,854,0.8583138173302107,0.06323185011709602,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:35:36,0.0,2014-03-03 09:35:31,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:35:41,0.1737891737891738,2014-03-03 09:35:36,0.0,0.0,0.0,351,0.6267806267806267,0.19943019943019943,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:35:46,0.0,2014-03-03 09:35:41,0.08973975471133712,0.06012563565659587,0.0,3343,0.7577026622793898,0.06251869578223153,0.0,0.029913251570445706,0.0
0.0,0.0,2014-03-03 09:35:51,0.0,2014-03-03 09:35:46,0.0,0.0005787037037037037,0.0,1728,0.2170138888888889,0.7824074074074074,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:35:56,0.0,2014-03-03 09:35:51,0.12298959318826869,0.0,0.0,1057,0.40397350993377484,0.47303689687795647,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:36:01,0.0,2014-03-03 09:35:56,0.16194331983805668,0.16194331983805668,0.0,1235,0.16356275303643725,0.5117408906882591,0.0,0.0008097165991902834,0.0
0.0,0.0,2014-03-03 09:36:06,0.02895193977996526,2014-03-03 09:36:01,0.16068326577880718,0.05790387955993052,0.0,3454,0.13028372900984367,0.6221771858714534,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:36:16,0.0625,2014-03-03 09:36:11,0.25,0.125,0.0,1600,0.125,0.375,0.0,0.0625,0.0
0.0,0.0,2014-03-03 09:36:21,0.011627906976744186,2014-03-03 09:36:16,0.0,0.0,0.0,172,0.0,0.5813953488372093,0.0,0.4069767441860465,0.0
0.0,0.0,2014-03-03 09:36:26,0.0,2014-03-03 09:36:21,0.0,0.0,0.0,400,0.75,0.0,0.0,0.25,0.0
0.0,0.0,2014-03-03 09:36:31,0.0,2014-03-03 09:36:26,0.0,0.0,0.0,537,0.3854748603351955,0.42830540037243947,0.0,0.186219739292365,0.0
0.0,0.0,2014-03-03 09:36:36,0.0,2014-03-03 09:36:31,0.0,0.0,0.0,245,0.17959183673469387,0.8204081632653061,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:36:41,0.0,2014-03-03 09:36:36,0.0,0.5833333333333334,0.0,240,0.0,0.0,0.0,0.4166666666666667,0.0
0.0,0.0,2014-03-03 09:36:51,0.0,2014-03-03 09:36:46,0.0970873786407767,0.0,0.0,1030,0.5825242718446602,0.32038834951456313,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:36:56,0.0,2014-03-03 09:36:51,0.0196078431372549,0.0,0.0,102,0.0,0.0,0.0,0.9803921568627451,0.0
0.0,0.0,2014-03-03 09:37:01,0.0,2014-03-03 09:36:56,0.388,0.0,0.0,250,0.612,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:06,0.0,2014-03-03 09:37:01,0.0,1.0,0.0,100,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:11,0.0,2014-03-03 09:37:06,0.12077294685990338,0.2898550724637681,0.0,207,0.4927536231884058,0.0966183574879227,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:16,0.0,2014-03-03 09:37:11,0.0,0.0,0.0,20,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:21,0.0,2014-03-03 09:37:16,1.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:26,0.0,2014-03-03 09:37:21,0.07322175732217573,0.0,0.0,478,0.6506276150627615,0.2719665271966527,0.0,0.0041841004184100415,0.0
0.0,0.0,2014-03-03 09:37:31,0.0,2014-03-03 09:37:26,0.0,0.0,0.0,300,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:36,0.0,2014-03-03 09:37:31,0.0,0.0,0.0,60,1.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:41,0.0,2014-03-03 09:37:36,0.0,0.0,0.14285714285714285,700,0.14285714285714285,0.7142857142857143,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:46,0.03225806451612903,2014-03-03 09:37:41,0.0,0.0,0.6451612903225806,310,0.3225806451612903,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:51,0.22448979591836735,2014-03-03 09:37:46,0.0,0.0,0.0,490,0.3673469387755102,0.40816326530612246,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:37:56,0.39215686274509803,2014-03-03 09:37:51,0.0,0.0,0.0,255,0.0196078431372549,0.0,0.0,0.5882352941176471,0.0
0.0,0.0,2014-03-03 09:38:01,0.0,2014-03-03 09:37:56,0.0,0.0,0.0,625,0.84,0.0,0.0,0.16,0.0
0.0,0.0,2014-03-03 09:38:06,0.0,2014-03-03 09:38:01,0.0,0.0,0.1,10,0.9,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:38:11,0.0,2014-03-03 09:38:06,0.11864406779661017,0.0,0.2711864406779661,295,0.6101694915254238,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:38:16,0.0007423904974016332,2014-03-03 09:38:11,0.0779510022271715,0.11878247958426132,0.0,1347,0.5953971789161099,0.2071269487750557,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:38:21,0.0,2014-03-03 09:38:16,0.03006012024048096,0.0,0.0,499,0.4709418837675351,0.40080160320641284,0.0,0.09819639278557114,0.0
0.0,0.0,2014-03-03 09:38:36,0.0,2014-03-03 09:38:31,0.485,0.3,0.0,200,0.015,0.0,0.0,0.2,0.0
0.0,0.0,2014-03-03 09:38:41,0.0,2014-03-03 09:38:36,0.0,0.0,0.0,60,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:38:46,0.0,2014-03-03 09:38:41,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:38:51,0.0,2014-03-03 09:38:46,0.26452064380685797,0.16794961511546536,0.0,1429,0.21553533939818054,0.06997900629811056,0.0,0.2820153953813856,0.0
0.0,0.0,2014-03-03 09:38:56,0.0,2014-03-03 09:38:51,0.8473282442748091,0.0,0.0,131,0.07633587786259542,0.07633587786259542,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:39:01,0.0,2014-03-03 09:38:56,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:39:06,0.0,2014-03-03 09:39:01,0.8183908045977012,0.09425287356321839,0.0,435,0.0,0.0,0.0,0.08735632183908046,0.0
0.0,0.0,2014-03-03 09:39:11,0.0,2014-03-03 09:39:06,0.9166666666666666,0.009259259259259259,0.0,108,0.06481481481481481,0.009259259259259259,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:39:21,0.0,2014-03-03 09:39:16,0.0,0.0,0.0,190,0.0,1.0,0.0,0.0,0.0
0.0,0.0,2014-03-03 09:39:26,0.22065063649222066,2014-03-03 09:39:21,0.2871287128712871,0.0,0.0,707,0.3507779349363508,0.0,0.0,0.14144271570014144,0.0
0.0,0.0,2014-03-03 09:39:31,0.02962962962962963,2014-03-03 09:39:26,0.0,0.0,0.0,135,0.22962962962962963,0.0,0.0,0.7407407407407407,0.0
0.0,0.0,2014-03-03 09:39:36,0.0,2014-03-03 09:39:31,0.0,0.0,0.0,23,0.0,0.0,0.0,1.0,0.0
0.0,0.0,2014-03-03 09:39:41,0.002008032128514056,2014-03-03 09:39:36,0.006024096385542169,0.44176706827309237,0.0,498,0.3092369477911647,0.22088353413654618,0.0,0.020080321285140562,0.0
0.0,0.0,2014-03-03 09:39:46,0.0,2014-03-03 09:39:41,0.0,0.0,0.0683371298405467,439,0.2938496583143508,0.6378132118451025,0.0,0.0,0.0
