CHX,NASDAQ,totalVolume,endTime,NSX,NYSE Arca,BATS BZX,CBSX,NASDAQ PSX,BATS EDGA,BATS EDGX,startTime,BATS BYX,NASDAQ BX
0.0,0.07407407407407407,108,2014-03-13 09:41:11,0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:41:06,0.0,0.0
0.0,1.0,200,2014-03-13 09:41:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:41:16,0.0,0.0
0.0,1.0,250,2014-03-13 09:41:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:41:36,0.0,0.0
0.0,0.0,57,2014-03-13 09:41:46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:41:41,0.0,0.0
0.0,0.0,100,2014-03-13 09:41:56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-03-13 09:41:51,0.0,0.0
0.0,0.2127659574468085,470,2014-03-13 09:42:06,0.0,0.2127659574468085,0.19148936170212766,0.0,0.0,0.0,0.0,2014-03-13 09:42:01,0.19148936170212766,0.19148936170212766
0.0,0.0,1,2014-03-13 09:42:16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:42:11,0.0,0.0
0.0,0.3709677419354839,682,2014-03-13 09:42:21,0.0,0.16862170087976538,0.4604105571847507,0.0,0.0,0.0,0.0,2014-03-13 09:42:16,0.0,0.0
0.0,1.0,409,2014-03-13 09:42:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:42:21,0.0,0.0
0.0,0.0,300,2014-03-13 09:42:31,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,2014-03-13 09:42:26,0.0,0.0
0.0,0.2033898305084746,1121,2014-03-13 09:42:46,0.0,0.3033006244424621,0.08920606601248884,0.0,0.0,0.08920606601248884,0.31489741302408564,2014-03-13 09:42:41,0.0,0.0
0.0,0.7439024390243902,2132,2014-03-13 09:42:51,0.0,0.06097560975609756,0.0,0.0,0.0,0.04690431519699812,0.14821763602251406,2014-03-13 09:42:46,0.0,0.0
0.0,0.0,400,2014-03-13 09:42:56,0.0,0.875,0.125,0.0,0.0,0.0,0.0,2014-03-13 09:42:51,0.0,0.0
0.0,0.17466266866566715,1334,2014-03-13 09:43:01,0.0,0.07496251874062969,0.0,0.0,0.0,0.29985007496251875,0.0007496251874062968,2014-03-13 09:42:56,0.3748125937031484,0.07496251874062969
0.0,0.40039447731755423,2028,2014-03-13 09:43:06,0.0,0.20956607495069032,0.09861932938856016,0.0,0.0,0.14201183431952663,0.10009861932938856,2014-03-13 09:43:01,0.0,0.04930966469428008
0.0,0.3333333333333333,600,2014-03-13 09:43:11,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,2014-03-13 09:43:06,0.0,0.16666666666666666
0.0,0.26353790613718414,831,2014-03-13 09:43:16,0.0,0.0,0.0,0.0,0.0,0.24067388688327315,0.0,2014-03-13 09:43:11,0.37545126353790614,0.12033694344163658
0.0,0.5,400,2014-03-13 09:43:21,0.0,0.25,0.0,0.0,0.0,0.0,0.25,2014-03-13 09:43:16,0.0,0.0
0.0,0.5,200,2014-03-13 09:43:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:43:36,0.0,0.5
0.0,0.6758508914100486,617,2014-03-13 09:43:46,0.0,0.0,0.3241491085899514,0.0,0.0,0.0,0.0,2014-03-13 09:43:41,0.0,0.0
0.0,0.43355786895284754,1633,2014-03-13 09:43:51,0.0,0.1224739742804654,0.2449479485609308,0.0,0.0,0.0,0.015309246785058175,2014-03-13 09:43:46,0.1837109614206981,0.0
0.0,1.0,43,2014-03-13 09:43:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:43:51,0.0,0.0
0.0,0.0,347,2014-03-13 09:44:01,0.0,0.547550432276657,0.2881844380403458,0.0,0.0,0.0,0.1642651296829971,2014-03-13 09:43:56,0.0,0.0
0.0,0.0,170,2014-03-13 09:44:06,0.0,0.11764705882352941,0.0,0.0,0.0,0.8823529411764706,0.0,2014-03-13 09:44:01,0.0,0.0
0.0,0.75,400,2014-03-13 09:44:11,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:44:06,0.0,0.0
0.0,0.0,50,2014-03-13 09:44:16,0.0,0.6,0.4,0.0,0.0,0.0,0.0,2014-03-13 09:44:11,0.0,0.0
0.0,1.0,152,2014-03-13 09:44:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:44:16,0.0,0.0
0.0,0.9433962264150944,212,2014-03-13 09:44:26,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:44:21,0.0,0.0
0.0,0.0,380,2014-03-13 09:44:31,0.0,0.7368421052631579,0.0,0.0,0.2631578947368421,0.0,0.0,2014-03-13 09:44:26,0.0,0.0
0.0,0.0,22,2014-03-13 09:44:36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:44:31,0.0,0.0
0.0,0.3367003367003367,297,2014-03-13 09:44:56,0.0,0.4107744107744108,0.0,0.0,0.0,0.0,0.25252525252525254,2014-03-13 09:44:51,0.0,0.0
0.0,1.0,16,2014-03-13 09:45:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:44:56,0.0,0.0
0.0,0.0,152,2014-03-13 09:45:06,0.0,0.32894736842105265,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:45:01,0.6710526315789473,0.0
0.0,0.19230769230769232,260,2014-03-13 09:45:16,0.0,0.6538461538461539,0.15384615384615385,0.0,0.0,0.0,0.0,2014-03-13 09:45:11,0.0,0.0
0.0,0.0,100,2014-03-13 09:45:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:45:16,0.0,1.0
0.0,0.5833333333333334,36,2014-03-13 09:45:31,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,2014-03-13 09:45:26,0.0,0.0
0.0,0.5,1000,2014-03-13 09:45:36,0.0,0.1,0.0,0.0,0.0,0.1,0.075,2014-03-13 09:45:31,0.0,0.225
