TimeInterval,TradeCount,Volume,Direct Edge X,BATS,Direct Edge A,BATS Y,NASDAQ,NASDAQ OMX PSX,NYSE Arca SM,NASDAQ OMX BX,CBOE
2014-03-13 09:48:30,1,98,0,0,98,0,0,0,0,0,0
2014-03-13 09:48:36,1,47,0,0,0,47,0,0,0,0,0
2014-03-13 09:48:43,1,13,0,0,0,0,13,0,0,0,0
2014-03-13 09:49:09,16,1192,0,300,0,0,768,0,24,100,0
2014-03-13 09:49:24,1,85,0,0,0,0,85,0,0,0,0
2014-03-13 09:49:36,1,10,0,0,0,0,0,0,0,0,10
2014-03-13 09:50:00,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:50:03,1,5,0,0,5,0,0,0,0,0,0
2014-03-13 09:50:04,1,47,0,0,0,0,47,0,0,0,0
2014-03-13 09:50:25,1,3,0,0,0,0,3,0,0,0,0
2014-03-13 09:50:32,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:50:41,16,910,250,0,0,0,500,100,60,0,0
2014-03-13 09:50:42,6,275,0,0,0,0,15,0,260,0,0
2014-03-13 09:50:43,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:50:48,2,103,0,0,0,0,103,0,0,0,0
2014-03-13 09:50:49,7,436,300,0,0,0,36,0,100,0,0
2014-03-13 09:50:54,1,100,0,100,0,0,0,0,0,0,0
2014-03-13 09:50:57,3,425,0,400,0,0,25,0,0,0,0
2014-03-13 09:51:02,4,152,142,0,0,0,10,0,0,0,0
2014-03-13 09:51:07,4,408,311,0,95,0,0,0,0,2,0
2014-03-13 09:51:31,5,600,0,0,0,0,600,0,0,0,0
2014-03-13 09:51:44,1,10,0,0,0,0,10,0,0,0,0
2014-03-13 09:52:13,7,703,0,0,0,0,403,0,300,0,0
2014-03-13 09:52:19,2,15,0,0,0,0,15,0,0,0,0
2014-03-13 09:52:28,1,10,0,0,0,0,0,0,10,0,0
2014-03-13 09:52:50,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 09:52:53,2,200,100,0,0,0,100,0,0,0,0
2014-03-13 09:53:13,1,28,0,0,0,0,0,0,28,0,0
2014-03-13 09:53:14,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:53:15,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:53:36,1,30,0,0,0,0,30,0,0,0,0
2014-03-13 09:54:01,3,83,83,0,0,0,0,0,0,0,0
2014-03-13 09:54:47,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:55:11,4,131,0,0,0,0,114,0,17,0,0
2014-03-13 09:55:54,5,163,0,0,0,0,63,0,100,0,0
2014-03-13 09:55:57,1,83,0,0,0,0,0,0,83,0,0
2014-03-13 09:56:05,4,400,0,0,0,100,200,0,100,0,0
2014-03-13 09:56:18,1,70,0,0,0,0,70,0,0,0,0
2014-03-13 09:56:25,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:56:29,2,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:56:40,1,3,0,0,0,0,3,0,0,0,0
2014-03-13 09:57:18,2,97,0,0,0,0,97,0,0,0,0
2014-03-13 09:57:31,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:57:34,7,332,0,100,0,0,122,0,110,0,0
2014-03-13 09:58:20,1,85,0,0,0,0,85,0,0,0,0
2014-03-13 09:58:31,3,500,0,0,0,0,500,0,0,0,0
2014-03-13 09:58:39,2,10,0,0,0,0,10,0,0,0,0
2014-03-13 09:58:41,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:58:42,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:58:48,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:58:54,2,103,0,0,0,0,3,0,100,0,0
2014-03-13 09:59:00,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:59:06,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:59:13,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 09:59:17,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:59:19,2,100,100,0,0,0,0,0,0,0,0
2014-03-13 09:59:25,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:59:32,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:59:33,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:59:45,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:59:52,2,167,67,0,0,0,100,0,0,0,0
2014-03-13 09:59:53,2,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:00:00,1,1,0,0,0,0,1,0,0,0,0
2014-03-13 10:00:01,3,89,0,0,0,0,89,0,0,0,0
2014-03-13 10:00:04,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:00:08,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:00:09,2,14,0,0,0,0,14,0,0,0,0
2014-03-13 10:00:13,1,100,0,100,0,0,0,0,0,0,0
2014-03-13 10:00:17,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:00:22,3,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:00:23,2,149,0,0,0,0,149,0,0,0,0
2014-03-13 10:00:26,1,40,0,0,0,0,0,0,40,0,0
2014-03-13 10:00:28,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:00:37,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:00:38,1,100,0,0,0,0,0,100,0,0,0
2014-03-13 10:00:42,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:00:47,2,100,82,0,0,0,18,0,0,0,0
2014-03-13 10:00:50,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:00:52,15,1112,0,0,0,0,812,100,100,100,0
2014-03-13 10:01:04,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:01:12,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:01:19,3,110,0,0,0,0,10,0,100,0,0
2014-03-13 10:01:24,7,35,0,0,0,0,35,0,0,0,0
2014-03-13 10:01:26,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:01:29,4,400,0,0,0,0,400,0,0,0,0
2014-03-13 10:01:34,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:01:39,1,18,0,18,0,0,0,0,0,0,0
2014-03-13 10:01:42,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:01:44,1,19,0,0,0,0,0,0,19,0,0
2014-03-13 10:01:45,2,40,0,0,0,0,40,0,0,0,0
2014-03-13 10:01:50,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:01:51,2,50,0,0,0,0,50,0,0,0,0
2014-03-13 10:01:58,4,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:01:59,2,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:02:00,5,109,0,0,0,0,109,0,0,0,0
2014-03-13 10:02:06,6,235,0,85,0,0,125,0,25,0,0
2014-03-13 10:02:14,4,150,0,0,0,0,50,0,100,0,0
2014-03-13 10:02:22,2,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:02:30,1,24,0,0,0,0,24,0,0,0,0
2014-03-13 10:02:31,3,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:02:32,2,32,0,0,0,0,0,0,32,0,0
2014-03-13 10:02:39,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:02:48,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:02:57,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:03:07,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:03:18,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:03:23,2,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:03:24,1,15,0,0,0,0,15,0,0,0,0
2014-03-13 10:03:29,3,130,0,0,0,0,30,0,100,0,0
2014-03-13 10:03:34,3,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:03:40,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:03:43,2,115,0,0,0,0,115,0,0,0,0
2014-03-13 10:03:52,3,140,0,40,0,0,0,0,100,0,0
2014-03-13 10:03:58,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 10:04:04,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 10:04:12,2,75,75,0,0,0,0,0,0,0,0
2014-03-13 10:04:15,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:04:19,27,1471,400,65,0,0,135,0,871,0,0
2014-03-13 10:04:22,11,250,0,0,0,0,50,0,200,0,0
2014-03-13 10:04:24,5,125,0,0,0,0,25,0,100,0,0
2014-03-13 10:04:25,9,354,0,0,0,0,25,0,329,0,0
2014-03-13 10:04:26,3,150,0,0,0,0,25,0,0,25,100
2014-03-13 10:04:27,5,125,0,0,0,0,25,0,100,0,0
2014-03-13 10:04:28,5,305,0,0,2,0,303,0,0,0,0
2014-03-13 10:04:29,3,300,0,0,0,0,200,0,100,0,0
2014-03-13 10:04:37,2,200,0,0,0,0,100,0,100,0,0
2014-03-13 10:04:38,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:04:42,2,94,0,0,0,0,0,0,94,0,0
2014-03-13 10:04:48,2,105,0,0,0,0,5,0,0,0,100
2014-03-13 10:04:50,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:04:57,1,2,0,0,0,0,2,0,0,0,0
2014-03-13 10:05:00,1,5,0,0,0,0,5,0,0,0,0
2014-03-13 10:05:02,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:05:10,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:05:14,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:05:27,22,2207,638,0,0,0,1569,0,0,0,0
2014-03-13 10:05:28,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:05:41,11,610,100,0,100,0,410,0,0,0,0
2014-03-13 10:05:53,2,180,180,0,0,0,0,0,0,0,0
2014-03-13 10:05:57,2,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:06:00,3,220,220,0,0,0,0,0,0,0,0
2014-03-13 10:06:01,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:06:07,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:06:22,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:06:31,1,92,0,0,0,0,0,0,92,0,0
2014-03-13 10:06:37,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:06:53,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:07:04,11,373,100,125,0,0,62,0,61,25,0
2014-03-13 10:07:07,5,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:07:09,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:07:18,1,26,0,0,0,0,26,0,0,0,0
2014-03-13 10:07:27,3,125,0,0,0,0,0,0,125,0,0
2014-03-13 10:07:39,1,9,0,0,0,0,9,0,0,0,0
2014-03-13 10:07:44,12,522,27,0,0,0,395,0,100,0,0
2014-03-13 10:08:03,3,200,0,0,0,0,100,0,100,0,0
2014-03-13 10:08:06,8,431,0,0,0,0,425,0,6,0,0
2014-03-13 10:08:22,7,700,0,0,0,0,700,0,0,0,0
2014-03-13 10:08:38,5,118,0,0,10,0,108,0,0,0,0
2014-03-13 10:08:40,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:08:44,3,118,3,0,0,0,115,0,0,0,0
2014-03-13 10:09:00,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:09:01,3,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:09:04,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:09:08,7,247,0,0,0,0,147,0,100,0,0
2014-03-13 10:09:19,41,2650,245,0,90,0,1800,0,415,100,0
2014-03-13 10:09:20,12,510,100,25,0,0,285,0,100,0,0
2014-03-13 10:09:31,1,25,0,0,0,0,0,0,25,0,0
2014-03-13 10:09:33,2,400,400,0,0,0,0,0,0,0,0
2014-03-13 10:09:34,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:09:53,9,525,100,175,0,25,100,0,100,25,0
2014-03-13 10:10:10,1,60,0,0,0,0,0,0,60,0,0
2014-03-13 10:10:12,1,4,0,0,0,0,4,0,0,0,0
2014-03-13 10:10:13,1,90,0,0,0,0,0,0,90,0,0
2014-03-13 10:10:43,4,100,0,0,0,0,80,0,20,0,0
2014-03-13 10:10:57,2,19,0,0,0,0,0,0,19,0,0
2014-03-13 10:11:07,30,2186,210,1100,0,0,620,0,256,0,0
2014-03-13 10:11:19,2,50,0,0,0,0,0,0,50,0,0
2014-03-13 10:11:24,32,1256,509,0,0,0,434,0,313,0,0
2014-03-13 10:11:25,10,523,40,0,0,0,153,0,330,0,0
2014-03-13 10:11:26,2,144,87,0,0,0,0,0,57,0,0
2014-03-13 10:11:27,3,100,84,0,0,0,3,0,13,0,0
2014-03-13 10:11:28,14,842,400,100,0,0,42,0,300,0,0
2014-03-13 10:11:39,1,84,0,0,0,0,0,0,84,0,0
2014-03-13 10:11:41,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:11:42,1,16,0,0,0,0,0,0,16,0,0
2014-03-13 10:11:48,2,105,5,100,0,0,0,0,0,0,0
2014-03-13 10:11:57,2,15,0,0,0,0,15,0,0,0,0
2014-03-13 10:11:58,4,169,161,0,0,0,8,0,0,0,0
2014-03-13 10:12:16,7,700,0,0,100,200,0,0,100,300,0
2014-03-13 10:12:21,2,200,0,0,0,0,200,0,0,0,0
2014-03-13 10:12:29,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:12:55,1,42,0,0,0,0,42,0,0,0,0
2014-03-13 10:12:59,19,702,100,100,100,38,113,0,113,138,0
2014-03-13 10:13:00,1,24,24,0,0,0,0,0,0,0,0
2014-03-13 10:13:01,10,228,76,0,0,76,38,0,0,38,0
2014-03-13 10:13:07,6,276,100,38,0,0,100,0,38,0,0
2014-03-13 10:13:08,17,403,239,0,0,0,88,0,38,38,0
2014-03-13 10:13:22,3,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:13:39,10,511,0,100,0,0,111,0,100,200,0
2014-03-13 10:13:43,24,706,0,0,0,0,469,0,237,0,0
2014-03-13 10:13:44,11,537,37,300,0,0,100,0,100,0,0
2014-03-13 10:13:45,1,5,0,0,0,0,0,0,0,5,0
2014-03-13 10:13:49,1,10,0,0,0,0,0,0,10,0,0
2014-03-13 10:13:55,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:13:56,6,197,88,0,0,91,13,0,5,0,0
2014-03-13 10:14:11,1,40,0,0,0,0,0,0,40,0,0
2014-03-13 10:14:27,6,405,0,0,0,0,305,0,100,0,0
2014-03-13 10:14:30,1,4,0,0,0,0,4,0,0,0,0
2014-03-13 10:14:37,2,80,0,0,0,0,0,0,80,0,0
2014-03-13 10:14:51,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:14:58,3,121,0,0,21,0,0,0,0,100,0
2014-03-13 10:15:01,3,75,0,50,0,0,0,0,25,0,0
2014-03-13 10:15:08,6,380,0,0,0,375,5,0,0,0,0
2014-03-13 10:15:34,19,704,137,63,0,63,241,0,100,100,0
2014-03-13 10:15:35,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:15:40,3,77,0,0,0,0,77,0,0,0,0
2014-03-13 10:15:41,3,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:15:43,5,144,0,0,0,0,144,0,0,0,0
2014-03-13 10:15:46,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:15:53,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:15:54,3,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:15:59,8,286,0,38,0,38,10,0,100,100,0
2014-03-13 10:16:06,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:16:09,1,20,0,0,0,0,0,0,20,0,0
2014-03-13 10:16:13,3,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:16:21,3,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:16:28,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:16:36,15,378,0,88,0,63,63,0,100,64,0
2014-03-13 10:16:44,5,226,100,0,0,0,63,0,63,0,0
2014-03-13 10:16:52,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:17:00,4,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:17:05,6,320,0,0,0,0,220,0,100,0,0
2014-03-13 10:17:06,4,400,0,0,0,0,0,0,400,0,0
2014-03-13 10:17:17,2,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:17:27,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 10:17:28,3,91,0,61,0,0,0,0,30,0,0
2014-03-13 10:17:31,3,102,0,0,0,0,32,0,70,0,0
2014-03-13 10:17:37,3,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:17:42,1,1,0,0,0,0,1,0,0,0,0
2014-03-13 10:17:43,9,101,0,0,0,0,101,0,0,0,0
2014-03-13 10:17:46,6,200,0,76,0,38,24,0,0,62,0
2014-03-13 10:17:47,4,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:17:50,3,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:17:55,3,148,0,0,0,0,148,0,0,0,0
2014-03-13 10:17:57,3,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:18:03,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:18:05,2,125,0,0,0,0,0,0,25,100,0
2014-03-13 10:18:06,2,100,0,0,0,0,100,0,0,0,0
2014-03-13 10:18:09,4,200,0,0,0,0,0,0,200,0,0
2014-03-13 10:18:10,11,770,120,100,0,0,300,0,200,50,0
2014-03-13 10:18:11,2,100,0,0,0,0,0,0,0,100,0
2014-03-13 10:18:20,1,15,0,0,0,0,0,0,15,0,0
2014-03-13 10:18:30,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:18:33,10,380,0,100,0,25,230,0,0,25,0
2014-03-13 10:18:36,27,975,0,300,0,100,475,0,0,100,0
2014-03-13 10:18:37,31,1212,0,700,0,50,412,0,0,50,0
2014-03-13 10:18:41,14,477,0,75,0,50,152,0,175,25,0
2014-03-13 10:18:42,12,375,0,75,0,25,150,0,100,25,0
2014-03-13 10:18:44,1,25,0,25,0,0,0,0,0,0,0
2014-03-13 10:18:48,11,402,0,63,0,63,63,0,150,63,0
2014-03-13 10:18:53,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:18:59,1,30,0,0,0,0,30,0,0,0,0
2014-03-13 10:19:00,4,100,9,0,0,0,53,0,38,0,0
2014-03-13 10:19:06,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:19:18,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:19:35,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 10:19:45,5,180,0,80,0,0,0,0,100,0,0
