TimeInterval,TradeCount,Volume,NYSE,Direct Edge A,BATS Y,NASDAQ OMX,Direct Edge X,BATS
2014-03-13 13:58:43,1,1,1,0,0,0,0,0
2014-03-13 14:10:14,1,1,1,0,0,0,0,0
2014-03-13 14:11:03,1,1,1,0,0,0,0,0
2014-03-13 14:12:04,1,1,0,0,0,0,0,1
2014-03-13 14:12:08,1,1,1,0,0,0,0,0
2014-03-13 14:18:16,1,1,0,0,0,0,0,1
2014-03-13 14:19:49,3,3,0,0,1,2,0,0
2014-03-13 14:20:21,1,1,0,0,0,0,0,1
2014-03-13 14:20:39,1,3,3,0,0,0,0,0
2014-03-13 14:20:46,2,4,3,0,0,1,0,0
2014-03-13 14:21:32,3,3,1,0,0,1,0,1
2014-03-13 14:24:36,2,2,0,0,0,2,0,0
2014-03-13 14:27:37,1,1,0,0,0,1,0,0
2014-03-13 14:30:34,1,1,0,0,0,1,0,0
2014-03-13 14:30:57,1,1,0,0,0,0,0,1
2014-03-13 14:45:01,1,1,0,0,0,1,0,0
2014-03-13 14:46:48,1,1,0,0,0,1,0,0
2014-03-13 14:47:11,1,1,1,0,0,0,0,0
2014-03-13 14:47:20,4,4,0,0,1,1,1,1
2014-03-13 14:48:41,1,1,0,0,0,0,0,1
2014-03-13 14:48:48,1,1,1,0,0,0,0,0
2014-03-13 14:49:12,1,1,0,0,0,1,0,0
2014-03-13 14:49:28,1,1,0,0,1,0,0,0
2014-03-13 14:54:13,2,2,0,0,0,2,0,0
2014-03-13 14:54:27,2,2,0,0,0,0,2,0
2014-03-13 14:55:02,1,1,1,0,0,0,0,0
2014-03-13 14:55:07,3,3,1,0,0,1,0,1
2014-03-13 15:00:26,1,1,1,0,0,0,0,0
2014-03-13 15:06:29,1,1,0,0,0,0,0,1
2014-03-13 15:08:30,1,1,0,0,0,1,0,0
2014-03-13 15:08:58,1,1,0,0,0,0,0,1
2014-03-13 15:09:15,3,6,5,0,0,1,0,0
2014-03-13 15:10:35,1,1,0,0,1,0,0,0
2014-03-13 15:14:37,5,5,0,0,0,3,0,2
2014-03-13 15:16:29,1,1,0,0,0,1,0,0
2014-03-13 15:17:27,1,1,0,0,0,1,0,0
2014-03-13 15:18:54,1,1,0,0,0,0,0,1
2014-03-13 15:19:04,2,2,0,0,0,1,0,1
2014-03-13 15:19:51,1,1,0,1,0,0,0,0
2014-03-13 15:19:55,1,1,0,0,0,1,0,0
2014-03-13 15:19:56,1,1,0,0,0,0,0,1
2014-03-13 15:20:32,1,2,2,0,0,0,0,0
2014-03-13 15:22:30,1,1,1,0,0,0,0,0
2014-03-13 15:23:26,1,1,0,0,0,1,0,0
2014-03-13 15:28:04,2,2,0,0,0,1,0,1
2014-03-13 15:28:51,1,1,0,0,0,1,0,0
2014-03-13 15:29:19,1,1,0,0,0,1,0,0
2014-03-13 15:29:58,1,1,1,0,0,0,0,0
2014-03-13 15:31:02,1,1,0,0,0,1,0,0
2014-03-13 15:31:52,1,1,0,0,1,0,0,0
2014-03-13 15:32:09,1,1,0,0,0,0,0,1
2014-03-13 15:32:13,1,1,0,0,0,0,0,1
2014-03-13 15:32:30,1,1,0,0,0,1,0,0
2014-03-13 15:33:42,1,1,0,0,0,1,0,0
2014-03-13 15:34:07,1,4,0,0,0,4,0,0
2014-03-13 15:34:12,1,1,0,0,0,1,0,0
2014-03-13 15:35:32,1,1,0,0,0,1,0,0
2014-03-13 15:36:17,1,1,1,0,0,0,0,0
2014-03-13 15:41:12,1,1,0,0,0,1,0,0
2014-03-13 15:42:56,1,1,1,0,0,0,0,0
2014-03-13 15:44:36,1,1,0,0,1,0,0,0
2014-03-13 15:44:37,1,1,0,0,0,0,0,1
2014-03-13 15:44:38,1,1,0,0,0,1,0,0
2014-03-13 15:44:49,1,1,0,0,0,1,0,0
2014-03-13 15:44:50,1,1,0,0,0,1,0,0
2014-03-13 15:44:55,1,1,0,0,0,0,1,0
2014-03-13 15:44:56,1,1,0,0,0,1,0,0
2014-03-13 15:44:58,2,2,0,0,0,2,0,0
2014-03-13 15:44:59,1,1,0,0,0,1,0,0
2014-03-13 15:45:01,1,1,0,0,0,1,0,0
2014-03-13 15:45:04,1,1,0,0,0,0,0,1
2014-03-13 15:45:09,1,1,0,0,0,0,0,1
2014-03-13 15:45:11,1,1,0,0,0,1,0,0
2014-03-13 15:45:13,1,1,0,0,0,0,0,1
2014-03-13 15:45:14,2,2,0,0,0,1,0,1
2014-03-13 15:45:17,1,1,0,0,0,0,0,1
2014-03-13 15:45:18,1,1,1,0,0,0,0,0
2014-03-13 15:45:20,1,1,0,0,0,0,0,1
2014-03-13 15:45:22,1,1,0,0,0,0,0,1
2014-03-13 15:45:27,1,1,0,0,0,1,0,0
2014-03-13 15:45:33,2,2,1,0,0,0,0,1
2014-03-13 15:45:38,1,1,0,0,0,1,0,0
2014-03-13 15:45:41,1,1,0,0,0,1,0,0
2014-03-13 15:45:52,1,1,0,0,0,1,0,0
2014-03-13 15:48:59,1,1,0,0,0,0,0,1
2014-03-13 15:49:20,1,1,0,0,0,0,0,1
2014-03-13 15:50:28,1,1,0,0,0,1,0,0
2014-03-13 15:51:41,1,1,0,0,0,0,0,1
2014-03-13 15:51:59,1,1,0,0,0,0,1,0
2014-03-13 15:52:02,1,1,0,0,0,0,0,1
2014-03-13 15:52:48,1,1,0,0,0,0,0,1
2014-03-13 15:53:27,1,1,0,0,0,0,0,1
2014-03-13 15:54:10,2,2,0,0,0,1,0,1
2014-03-13 15:54:16,1,1,0,0,0,1,0,0
2014-03-13 15:54:24,1,1,0,0,0,0,1,0
2014-03-13 15:54:28,1,1,0,0,0,1,0,0
2014-03-13 15:57:02,2,2,0,0,0,2,0,0
2014-03-13 15:57:37,2,2,1,0,0,1,0,0
2014-03-13 15:59:08,1,1,0,0,0,1,0,0
2014-03-13 15:59:34,1,1,0,0,0,0,0,1
2014-03-13 15:59:42,2,2,0,0,0,1,0,1
2014-03-13 15:59:43,1,1,0,0,0,0,0,1
2014-03-13 15:59:52,1,1,0,0,0,0,0,1
