TimeInterval,TradeCount,Volume,BATS,NYSE,NASDAQ OMX PSX,Direct Edge A,CBOE,NASDAQ OMX,NYSE Arca SM,National,BATS Y,NASDAQ OMX BX,Direct Edge X
2014-03-13 10:39:33,3,200,0,100,0,0,0,100,0,0,0,0,0
2014-03-13 10:44:50,1,6,0,0,6,0,0,0,0,0,0,0,0
2014-03-13 10:52:11,1,3,0,0,0,3,0,0,0,0,0,0,0
2014-03-13 10:53:29,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 10:54:38,3,140,0,0,0,0,0,30,110,0,0,0,0
2014-03-13 10:55:09,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 10:55:10,2,14,0,0,0,0,0,14,0,0,0,0,0
2014-03-13 10:55:12,1,86,0,0,0,0,0,86,0,0,0,0,0
2014-03-13 10:55:13,3,25,0,0,0,0,0,0,25,0,0,0,0
2014-03-13 11:00:00,1,1,0,0,0,0,0,0,1,0,0,0,0
2014-03-13 11:01:22,6,188,0,0,0,0,0,186,2,0,0,0,0
2014-03-13 11:01:58,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-03-13 11:03:58,1,300,0,0,0,0,0,300,0,0,0,0,0
2014-03-13 11:04:03,4,109,0,7,0,0,0,0,102,0,0,0,0
2014-03-13 11:04:54,2,101,0,100,0,0,0,1,0,0,0,0,0
2014-03-13 11:06:48,2,101,0,1,0,0,0,100,0,0,0,0,0
2014-03-13 11:08:35,1,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 11:10:41,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 11:11:12,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 11:11:28,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 11:12:04,1,13,0,0,0,0,0,13,0,0,0,0,0
2014-03-13 11:12:06,1,87,0,0,0,0,0,87,0,0,0,0,0
2014-03-13 11:12:55,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-03-13 11:13:08,2,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 11:13:15,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 11:15:06,9,252,0,1,0,0,0,2,249,0,0,0,0
2014-03-13 11:19:55,1,1,0,0,0,0,0,0,1,0,0,0,0
2014-03-13 11:20:57,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 11:23:32,3,110,0,0,20,0,0,90,0,0,0,0,0
